Section,FINAL Exam  (5799361),LG (5974114),Discussion: Student Introductions  (5799382),Discussion: Module A1: The Origins of Cities (579938A),Discussion: Module A2: Influence of Geography (5799379),Discussion: Module A3: Compare Sparta and Athens (5799378),Discussion: Module A4: Hinduism and Caste (5799377),Discussion: Module A6: Who was Julius Caesar? (5799375),Discussion: Module A7: Confucian and Qin Styles of Government (5799374),Discussion: Module A8: Charlemagne (5799373),Discussion: Module A9: the Koran and Bible (5799372),Discussion: Module 1A: Aztecs and Incas (5799371),Discussion: Module 11: Mansa Musa (579937A),Discussion: Module 12: What was new about Renaissance era Europe?  (5799369),Discussion: Conclusions: Reflection (5799368),Pledge to Avoid Plagiarism (5799387),Document Analysis 1 (5799384),Document Analysis 2 (5799385),doc 2 assessment report (5799383),Quiz II: Avoid Plagiarism !  (5799352),Quiz I: Introduction (5799363),Quiz: Module A1: Origins (5799366),Quiz: Module A2-1: Four River Civs: Mesopotamia and Egypt (579936A),Quiz: Module A2-2: Four River Civs: India and China (5799353),Quiz: Module A3: Ancient Greece (5799364),Quiz: Module A4: India (579935A),Quiz: Module A5: Africa (5799351),Quiz: Module A6: Ancient Rome (5799367),Quiz: Module A7: China  (5799356),Quiz: Module A8: Christianity (5799365),Quiz: Module A9: Islam (5799357),Quiz: Module 1A: Americas (5799358),Quiz: Module 11A: Africa (5799354),Quiz: Module 11B: Mongols (5799362),Quiz: Module 12: Rise of Europe (5799355),Mid-Term Exam  (5799359),Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Discussion Current Score,Discussion Unposted Current Score,Discussion Final Score,Discussion Unposted Final Score,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Mid-term Current Score,Mid-term Unposted Current Score,Mid-term Final Score,Mid-term Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,7A,A,5,25,25,25,25,25,25,25,25,25,25,25,25,1A,1AA,1AA,A,15,1A,15,15,1A,2A,15,1A,2A,2A,2A,2A,2A,1A,1A,1A,7A,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),47,A,5,18,2A,2A,2A,18,A,A,2A,18,18,18,25,1A,91,84,6,12,8,11,1A,6,19,13,8,2A,17,19,2A,19,1A,1A,1A,57,67.14,67.14,67.14,67.14,65.57,65.57,65.57,65.57,88.1,88.1,88.1,88.1,88.33,88.33,88.33,88.33,81.43,81.43,81.43,81.43,76.18,76.18,76.18,76.18
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),6A,A,5,21,25,23,25,25,21,2A,21,2A,23,2A,25,1A,94,94,1A,14,9,11,14,1A,18,14,1A,2A,19,2A,2A,2A,1A,1A,1A,42,85.71,85.71,85.71,85.71,89.84,89.84,89.84,89.84,94.29,94.29,94.29,94.29,95.42,95.42,95.42,95.42,6A,6A,6A,6A,86.26,86.26,86.26,86.26
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,A,A,A,A,A,A,A,A,A,A,A,1A,A,A,A,13,7,7,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,11.25,11.25,11.25,11.25,A,A,A,A,3.13,3.13,3.13,3.13
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,21,A,A,A,A,A,A,A,A,A,A,A,1A,A,A,A,14,5,14,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,8.52,8.52,8.52,8.52,4.76,4.76,4.76,4.76,13.75,13.75,13.75,13.75,A,A,A,A,5.57,5.57,5.57,5.57
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),64,A,5,24,25,25,25,25,24,25,21,25,22,2A,23,1A,91,84,6,15,7,14,14,1A,2A,15,9,2A,2A,2A,18,2A,1A,1A,9,62,91.43,91.43,91.43,91.43,94.75,94.75,94.75,94.75,88.1,88.1,88.1,88.1,96.25,96.25,96.25,96.25,88.57,88.57,88.57,88.57,92.A5,92.A5,92.A5,92.A5
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),62,A,5,A,23,2A,25,21,2A,2A,21,A,23,21,23,1A,84,84,6,15,1A,14,14,1A,18,14,1A,2A,2A,17,18,18,1A,7,1A,63,88.57,88.57,88.57,88.57,72.79,72.79,72.79,72.79,84.76,84.76,84.76,84.76,93.75,93.75,93.75,93.75,9A,9A,9A,9A,84.A7,84.A7,84.A7,84.A7
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,A,A,A,A,A,A,A,A,A,A,A,1A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,A,A,A,A,A,A,A,A,1.44,1.44,1.44,1.44
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),56,A,5,22,25,25,25,25,25,24,23,25,25,A,25,1A,91,94,1A,15,1A,15,15,1A,2A,15,1A,2A,2A,2A,2A,2A,1A,1A,1A,64,8A,8A,8A,8A,89.84,89.84,89.84,89.84,92.86,92.86,92.86,92.86,1AA,1AA,1AA,1AA,91.43,91.43,91.43,91.43,9A.24,9A.24,9A.24,9A.24
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,A,A,A,A,A,A,A,A,A,A,A,1A,A,A,A,13,9,14,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,15,15,15,15,A,A,A,A,3.69,3.69,3.69,3.69
