Section,FINAL Exam  (5799361),LG (5974114),Discussion: Student Introductions  (5799382),Discussion: Module 01: The Origins of Cities (5799380),Discussion: Module 02: Influence of Geography (5799379),Discussion: Module 03: Compare Sparta and Athens (5799378),Discussion: Module 04: Hinduism and Caste (5799377),Discussion: Module 06: Who was Julius Caesar? (5799375),Discussion: Module 07: Confucian and Qin Styles of Government (5799374),Discussion: Module 08: Charlemagne (5799373),Discussion: Module 09: the Koran and Bible (5799372),Discussion: Module 10: Aztecs and Incas (5799371),Discussion: Module 11: Mansa Musa (5799370),Discussion: Module 12: What was new about Renaissance era Europe?  (5799369),Discussion: Conclusions: Reflection (5799368),Pledge to Avoid Plagiarism (5799387),Document Analysis 1 (5799384),Document Analysis 2 (5799385),doc 2 assessment report (5799383),Quiz II: Avoid Plagiarism !  (5799352),Quiz I: Introduction (5799363),Quiz: Module 01: Origins (5799366),Quiz: Module 02-1: Four River Civs: Mesopotamia and Egypt (5799360),Quiz: Module 02-2: Four River Civs: India and China (5799353),Quiz: Module 03: Ancient Greece (5799364),Quiz: Module 04: India (5799350),Quiz: Module 05: Africa (5799351),Quiz: Module 06: Ancient Rome (5799367),Quiz: Module 07: China  (5799356),Quiz: Module 08: Christianity (5799365),Quiz: Module 09: Islam (5799357),Quiz: Module 10: Americas (5799358),Quiz: Module 11A: Africa (5799354),Quiz: Module 11B: Mongols (5799362),Quiz: Module 12: Rise of Europe (5799355),Mid-Term Exam  (5799359),Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Discussion Current Score,Discussion Unposted Current Score,Discussion Final Score,Discussion Unposted Final Score,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Mid-term Current Score,Mid-term Unposted Current Score,Mid-term Final Score,Mid-term Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,70,0,5,25,25,25,25,25,25,25,25,25,25,25,25,10,100,100,0,15,10,15,15,10,20,15,10,20,20,20,20,20,10,10,10,70,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),47,0,5,18,20,20,20,18,0,0,20,18,18,18,25,10,91,84,6,12,8,11,10,6,19,13,8,20,17,19,20,19,10,10,10,57,67.14,67.14,67.14,67.14,65.57,65.57,65.57,65.57,88.1,88.1,88.1,88.1,88.33,88.33,88.33,88.33,81.43,81.43,81.43,81.43,76.18,76.18,76.18,76.18
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),60,0,5,21,25,23,25,25,21,20,21,20,23,20,25,10,94,94,10,14,9,11,14,10,18,14,10,20,19,20,20,20,10,10,10,42,85.71,85.71,85.71,85.71,89.84,89.84,89.84,89.84,94.29,94.29,94.29,94.29,95.42,95.42,95.42,95.42,60,60,60,60,86.26,86.26,86.26,86.26
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,11.25,11.25,11.25,11.25,0,0,0,0,3.13,3.13,3.13,3.13
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,8.52,8.52,8.52,4.76,4.76,4.76,4.76,13.75,13.75,13.75,13.75,0,0,0,0,5.57,5.57,5.57,5.57
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),64,0,5,24,25,25,25,25,24,25,21,25,22,20,23,10,91,84,6,15,7,14,14,10,20,15,9,20,20,20,18,20,10,10,9,62,91.43,91.43,91.43,91.43,94.75,94.75,94.75,94.75,88.1,88.1,88.1,88.1,96.25,96.25,96.25,96.25,88.57,88.57,88.57,88.57,92.05,92.05,92.05,92.05
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),62,0,5,0,23,20,25,21,20,20,21,0,23,21,23,10,84,84,6,15,10,14,14,10,18,14,10,20,20,17,18,18,10,7,10,63,88.57,88.57,88.57,88.57,72.79,72.79,72.79,72.79,84.76,84.76,84.76,84.76,93.75,93.75,93.75,93.75,90,90,90,90,84.07,84.07,84.07,84.07
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,0,0,0,0,0,0,0,0,1.44,1.44,1.44,1.44
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),56,0,5,22,25,25,25,25,25,24,23,25,25,0,25,10,91,94,10,15,10,15,15,10,20,15,10,20,20,20,20,20,10,10,10,64,80,80,80,80,89.84,89.84,89.84,89.84,92.86,92.86,92.86,92.86,100,100,100,100,91.43,91.43,91.43,91.43,90.24,90.24,90.24,90.24
12-wk World Civ to 1500 (HIST-1113-E30 CRN: 11349),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,15,15,15,15,0,0,0,0,3.69,3.69,3.69,3.69
